Facility and Room,Chemical Name,CAS,Amount,Assigned SOP,Hazard Description (MyChem)
"FISH TEACH & RSCH, Room 209",1X TRIS/EDTA SOLUTION,,500 ml,SOP-14,Fire Class: No identified hazard at this time | GHS Categories:
"FISH TEACH & RSCH, Room 209",2-IODOACETAMIDE,144-48-9,5 g,SOP-09,Fire Class: Toxic; Sensitizer | GHS Categories: Acute toxicity (Category 3; Oral); Respiratory sensitization (Category 1); Skin sensitization (Category 1)
"FISH TEACH & RSCH, Room 209",2-MERCAPTOETHANOL (REAGENT),60-24-2,100 ml,SOP-01,"Fire Class: Combustible Liquid, Class IIIA; Toxic; Sensitizer; Other Health Hazards - Including Carcinogens; Irritant | GHS Categories: Acute toxicity (Category 2; Derm); Acute toxicity (Category 2; Inh); Acute toxicity (Category 3; Oral); Flammable liquids (Category 4); Reproductive toxicity (Category 2; Suspected of damaging fertility.); Serious eye damage/eye irritation (Category 1); Skin corrosion/irritation (Category 2); Skin sensitization (Category 1); Specific target organ toxicity - repeated exposure (Category 2; Oral); Specific target organ toxicity - single exposure (Category 3; Drowsiness/dizziness)"
"FISH TEACH & RSCH, Room 209","2-PROPANOL BIOREAGENT, FOR MOLECULAR BIOLOGY, >=99.5%",67-63-0,"1,500 ml",SOP-01,"Fire Class: Flammable Liquid, Class IB; Irritant | GHS Categories: Serious eye damage/eye irritation (Category 2A); Flammable liquids (Category 2); Specific target organ toxicity - single exposure (Category 3; Drowsiness/dizziness)"
"FISH TEACH & RSCH, Room 209","3M SODIUM ACETATE SOLUTION, PH 5.2",,51 ml,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209",4-METHOXYPHENOL,150-76-5,100 g,SOP-11,Fire Class: Corrosive | GHS Categories: Acute aquatic toxicity (Category 2); Acute toxicity (Category 4; Oral); Chronic aquatic toxicity (Category 3); Serious eye damage/eye irritation (Category 2A); Reproductive toxicity (Category 2; Suspected of damaging fertility or the unborn child.); Skin sensitization (Category 1)
"FISH TEACH & RSCH, Room 209","5-AZACYTIDINE, 99%",320-67-2,1 g,SOP-10,Fire Class: Other Health Hazards - Including Carcinogens | GHS Categories:
"FISH TEACH & RSCH, Room 209",ABSOLUTE ETHANOL,64-17-5,500 ml,SOP-01,Fire Class:  | GHS Categories: Flammable liquids (Category 2); Serious eye damage/eye irritation (Category 2)
"FISH TEACH & RSCH, Room 209",ACETONITRILE,75-05-8,1 l,SOP-01,"Fire Class: Flammable Liquid, Class IB; Irritant | GHS Categories: Acute toxicity (Category 4; Derm); Acute toxicity (Category 4; Inh); Acute toxicity (Category 4; Oral); Flammable liquids (Category 2); Serious eye damage/eye irritation (Category 2)"
"FISH TEACH & RSCH, Room 209",ACETYLCHOLINE CHLORIDE,60-31-1,25 g,SOP-11,Fire Class: Other Health Hazards - Including Carcinogens; Irritant | GHS Categories: Serious eye damage/eye irritation (Category 2A); Skin corrosion/irritation (Category 2); Specific target organ toxicity - single exposure (Category 3; Respiratory irritation)
"FISH TEACH & RSCH, Room 209",AGAROSE,9012-36-6,100 g,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209",AGAROSE,9012-36-6,125 g,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209","AGAROSE, ULTRAPURE",,100 g,SOP-14,Fire Class: Irritant | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209",BRILLIANT BLUE R,6104-59-2,10 g,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209",BROMOPHENOL BLUE,115-39-9,5 g,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209",BUFFER COLUTION PH 7.0 (COLOR-CODED YELLOW),,4 l,SOP-14,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209","BUFFER SOLUTION, PH 10.00, COLOR-CODED BLUE",,4 l,SOP-08,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available)
"FISH TEACH & RSCH, Room 209","BUFFER SOLUTION, PH 4.00, COLOR-CODED RED",,4 l,SOP-07,Fire Class: No identified hazard at this time | GHS Categories: No identified hazards at this time (No Data Available); Hazard Not Otherwise Classified (No Data Available)
"FISH TEACH & RSCH, Room 209",CALCIUM CHLORIDE,10043-52-4,500 g,SOP-14,Fire Class: Irritant | GHS Categories: Serious eye damage/eye irritation (Category 2A)
"FISH TEACH & RSCH, Room 209",CHLOROFORM,67-66-3,2 l,SOP-03,Fire Class: Other Health Hazards - Including Carcinogens; Irritant | GHS Categories: Acute aquatic toxicity (Category 3); Acute toxicity (Category 4; Inh); Acute toxicity (Category 4; Oral); Carcinogenicity (Category 2; Unspecified); Serious eye damage/eye irritation (Category 2A); Reproductive toxicity (Category 2; Suspected of damaging fertility or the unborn child.); Skin corrosion/irritation (Category 2); Specific target organ toxicity - repeated exposure (Category 2; Unspecified); Specific target organ toxicity - single exposure (Category 3; Drowsiness/dizziness)
"FISH TEACH & RSCH, Room 209",CHLOROFORM - ISOAMYL ALCOHOL MIXTURE,,100 ml,SOP-03,Fire Class: Other Health Hazards - Including Carcinogens; Irritant | GHS Categories: Acute aquatic toxicity (Category 3); Acute toxicity (Category 3; Inh); Acute toxicity (Category 4; Oral); Carcinogenicity (Category 2; Unspecified); Chronic aquatic toxicity (Category 3); Reproductive toxicity (Category 2; Suspected of damaging fertility or the unborn child.); Serious eye damage/eye irritation (Category 1); Skin corrosion/irritation (Category 2); Specific target organ toxicity - repeated exposure (Category 1; Unspecified); Specific target organ toxicity - single exposure (Category 3; Drowsiness/dizziness)
